Statistics for file: Hamlet.txt
  There are a total of 32110 words in the file.
  Of those, 47 were ignored, leaving 32063 words to process.
  After processing, there are 4825 distinct words in the file

Statistics for file: KingLear.txt
  There are a total of 27818 words in the file.
  Of those, 15 were ignored, leaving 27803 words to process.
  After processing, there are 4191 distinct words in the file

The are 2051 common words in files Hamlet.txt and KingLear.txt.
The common words are:
    Word      Hamlet.txt    KingLear.txt
retain              1              2
return              5             12
return'd            4              2
returns             2              2
revenge            12              2
revenue             1              4
reverend            1              2
rich                3              3
richer              2              2
right              11              8
rightly             1              2
rights              2              3
ring                2              1
riotous             1              4
ripe                1              1
rises               3              1
rivals              1              1
rogue               3              4
rosemary            1              1
rot                 1              1
rotten              2              1
rough               1              2
round               6              1
royal               3              7
rude                2              1
rule                1              3
run                 2              6
running             1              2
runs                2              5
s                   1              5
sacred              1              1
safe                2              4
safety              5              2
said               15              7
sallets             1              1
salt                3              1
same               12             10
sat                 1              1
satisfaction        1              1
save                5              5
saw                12              5
say                54             37
say'st              2              3
says                8              7
scald               1              1
scant               1              2
scape               2              5
scarce              2              7
scarcely            2              4
scene              24             26
school              1              1
scope               3              1
scorn               1              1
sea                 8              7
seal                3              1
search              1              1
season              6              1
seasons             1              1
second             11              4
secret              4              1
secrets             1              1
secure              2              1
see                45             50
see't               1              2
seeing              4              1
seek                9             19
seeks               2              1
seem               10              8
seem'd              2              3
seeming             3              2
seems               6              5
seen               22             13
sees                2              2
self                2              6
send                4              9
sense              13              5
sent               13              5
sequent             1              1
serious             1              2
serpent             2              2
servant             3             16
servants            2             11
serve               2              9
serves              2              1
service             8              7
set                22             19
sets                2              1
seven               1              3
several             1              2
shadow              3              3
shake               3              8
shakespeare         1              1
shaking             1              1
shall             114             99
shalt               5             12
shame               8             11
shameful            1              1
shape               6              5
sharp               1              4
she                47             54
she'll              2              1
she's               2              7
sheep               1              4
sheets              1              2
shell               1              1
shift               1              1
shoe                1              1
shoes               2              1
shook               1              1
shoot               1              1
short               5              4
shortens            1              1
shortly             4              2
should             55             45
shoulder            3              1
shouldst            2              4
show               23              8
shown               2              2
shows               8              3
shrill              1              1
shut                1              4
sick                5              5
sickly              2              1
sickness            2              1
side                2              6
sides               3              3
sigh                4              1
sight               9             11
simple              1              2
simples             1              1
sin                 2              1
since              17             20
sing                5              2
single              2              1
sir                75            115
sirrah              1             10
sister              7             31
sister's            1              4
sit                 8              6
sith                3              2
sits                5              1
six                 4              2
skill               3              1
skin                1              1
slain               6              4
slanders            1              1
slaughter           2              1
slave               4             14
sleep              12              9
sleeps              4              3
slightly            2              1
sliver              1              1
small               1              8
smells              1              1
smelt               1              1
smile               2              3
smiles              1              1
smiling             3              1
smooth              2              1
snow                4              2
snuff               1              1
so                195            141
society             1              1
soft               10              2
soldier             3              1
soldiers            5              9
some               53             39
something          15              9
sometime            3              4
sometimes           3              1
son                22             27
songs               2              1
sons                1              3
soon                1              2
sore                3              2
sorrow              6              8
sorrows             1              3
sorry               4              4
soul               34              3
sound               7             11
sounded             1              2
sounds              1              1
sovereign           3              1
sovereignty         1              1
space               1              4
spake               1              3
spark               1              1
sparrow             1              1
speak              63             48
speaks              6              3
special             3              1
speech             16              9
speeches            1              2
speed               4              3
speedy              1              4
spies               1              2
spirit             14              6
spirits             5              4
spite               1              1
split               1              1
spoke               2              5
spoken              2              5
sport               3              3
spreads             1              1
spring              3              3
stage               5              2
stake               1              2
stale               1              1
stamp               2              1
stand              15             22
standing            1              1
stands              4             10
star                6              3
stars               4              5
started             1              1
state              15             10
stay               12             10
stealing            1              1
steep               1              1
step                2              2
steps               1              1
stern               1              1
stew'd              1              1
steward             1              1
stick               3              2
still              20             25
sting               2              1
stir                5              2
stock               1              1
stomach             1              1
stone               2              2
stones              1              3
stood               6              5
stoops              1              1
stop                4              4
storm               1             16
straight            4              5
strange             9             10
stranger            1              1
straw               2              4
strength            2              5
strife              1              2
strike              2             10
strikes             1              1
striking            1              2
strings             1              1
strokes             1              1
strong              4              4
struck              6              3
stubborn            1              1
study               1              3
stuff               3              1
stung               1              1
subject             3              3
substance           2              2
such               59             44
suck'd              2              1
sudden              5              1
suddenly            1              2
suffer              3              3
suffers             3              3
suit                3              1
suits               3              1
summit              2              1
summons             1              1
sun                 9              5
superfluous         1              2
supper              2              1
supply              1              1
sure                9             10
surrender           1              1
sustain             1              3
swear              10              5
sweat               2              1
sweet              25             11
swift               2              1
sword              17             17
swore               1              1
sworn               2              3
t                   1             16
t'                  6              1
ta'en               2              2
taint               1              1
take               36             65
taken               3              3
takes              10              1
tale                4              3
talk                2              6
talk'd              2              1
tame                3              2
taste               1              5
tax                 1              1
teach               4              6
tear                3              3
tears               8              9
teeth               2              1
tell               43             31
tells               1              1
temperance          1              1
tempest             1              4
tempt               3              1
ten                 4              2
tend                4              2
tender              4              4
tent                1              4
terms               5              2
th'                72              1
than               50             67
thank               9              8
thanks             10              2
that              389            348
that's             16             15
the              1091            910
thee               59            139
theft               1              1
their              57             65
them               74             53
themselves          5              5
then               65             47
thence              4              1
there              77             55
there's            18             20
therefore          15              7
thereto             1              1
these              47             39
they              101             63
they'll             1              3
thick               3              1
thieves             1              1
thin                2              1
thine              14             24
thing              18             21
things             11             10
think              47             22
thinking            4              1
third               3              9
thirty              3              1
this              300            238
those              21             13
thou              105            220
thou'lt             1              5
though             24             22
thought            12             15
thoughts           17              3
thousand           11              3
threats             1              1
three              10              6
